Method,ME Acc,ME F1,ME MAE,AR Acc,AR F1,AR MAE,PV Acc,PV F1,PV MAE
ResNet,0.7812,0.7694,0.2545,0.6679,0.6745,0.3865,0.6116,0.5810,0.4434
MobileNetV3,0.8170,0.8114,0.2545,0.6691,0.6347,0.4203,0.5229,0.5151,0.5872
ViT,0.8036,0.7951,0.2634,0.6479,0.6652,0.4070,0.5902,0.5817,0.4679
DenseNet,0.8080,0.7969,0.2188,0.6781,0.6873,0.3702,0.6269,0.6143,0.4312
PVTv2,0.8259,0.8117,0.2143,0.6926,0.6777,0.3514,0.6636,0.6575,0.3761
ConvNeXt-V2,0.8438,0.8248,0.1875,0.7077,0.6879,0.3430,0.6636,0.6509,0.3884
EfficientNet,0.8393,0.8277,0.1964,0.6461,0.6437,0.4348,0.5719,0.5437,0.5015
Spatial-Mamba-T,0.8304,0.8046,0.1964,0.7023,0.7171,0.3315,0.6269,0.6106,0.4251
Ours,0.8839,0.8821,0.1473,0.7252,0.7346,0.3086,0.7064,0.7012,0.3333
